0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,label
-275.91843,119.4928,-98.21178,-66.51514,-42.606045,0.50506556,-28.330938,-5.746867,9.9927845,4.7954116,15.461893,-0.069880314,-2.8426735,-1.7041113,-9.815933,0.014937707,3.0073469,1.2117919,-5.643124,-10.540113,-6.129107,-1.1030782,0.39834765,4.268213,-5.930558,-9.380433,2.161142,4.048735,-6.063359,-2.44369,-1.2716388,-3.5620496,1.7103271,1.0325135,-4.7482376,-4.0136228,0.116839156,6.3100305,1.4922714,1.46232,3
-500.9084,185.10641,-86.53282,49.85885,9.230822,22.548956,-3.5671747,12.220052,7.720082,-6.460392,16.995657,-6.625116,1.4697789,9.525101,0.73525095,2.9870641,2.7745848,8.555776,-1.5872017,1.7131606,6.431795,-0.84517705,2.4379253,-0.8231857,2.3274593,3.4365652,1.0405324,3.7995272,2.2722425,1.7465291,-1.5347013,-1.8563539,0.37286612,-3.2691872,-1.9697729,-1.5980989,0.5620771,0.463689,-0.35966298,0.90960103,2
-531.1953,186.93994,-70.34917,40.429245,9.121048,18.398588,6.2832823,15.504061,9.613501,-7.1136103,16.179823,-5.710522,-0.8992511,5.608243,0.86525416,7.36364,0.3703523,7.246946,0.23813725,-2.6358795,1.6304574,-4.30368,6.048413,3.660692,4.3800573,3.7227917,0.2128648,3.1509347,-2.982748,1.0097333,-0.74546677,-0.29196146,0.28763884,-3.3583152,1.4346274,-0.97524565,2.3860788,-0.34791848,-3.8441782,-0.73159736,2
-476.78442,160.33328,-62.952843,50.75117,-0.17432955,32.7916,-17.4698,24.755478,-3.8477829,-1.7611761,14.020372,-11.238716,6.290465,1.1356995,12.392341,-3.6337562,8.167873,0.7195861,-3.9433134,6.704039,-0.6175219,5.5240583,0.64598274,2.640657,-3.3208125,1.818532,0.52611685,-4.157915,3.832538,-4.174096,1.3587621,-3.3742025,-1.0122795,-1.0259926,-3.6663723,-0.07153497,-5.693183,1.876606,-1.4281727,3.5106864,2
-521.2447,185.39265,-81.95048,46.47355,11.872088,23.491444,4.261836,13.637699,6.093238,-2.8134537,18.07729,-7.2573457,-2.8493736,6.8790016,2.0504408,6.2598143,-0.9300031,10.567486,1.5747995,-1.2737066,3.1046653,-5.5919313,2.8828986,3.8991537,4.7501717,2.0505416,0.23846309,3.0256085,-1.3947455,0.99304086,-1.0441748,-0.33120576,2.4414399,0.44965246,1.6096971,-2.67941,-0.05482401,-2.050368,-1.7841884,2.869685,2
-516.3212,178.77928,-60.33852,47.640453,11.501935,20.880335,8.220909,13.267728,10.838386,-4.7542415,14.395511,-5.77516,3.391187,4.589565,3.0439506,7.1332483,0.5361793,7.192653,-2.3342283,-1.5088362,2.3336577,-2.0142758,2.9400392,2.537786,2.6098218,2.0507517,-0.719883,1.4022448,-0.49465594,0.3401572,-0.35713992,-1.89781,0.08742158,-0.63406366,3.4053106,0.06639086,0.116744265,0.30856445,-3.0277846,1.0321517,2
-547.3493,182.02466,-59.242584,53.34855,6.8247614,23.768806,6.937395,10.895923,7.7600994,-4.0517797,13.999423,-4.7169795,1.6775333,10.146943,1.2263479,8.274298,-0.9690961,5.5473857,-1.3799831,-2.3819747,3.2093976,-4.884802,3.7061758,-0.7222736,1.0224938,4.2265964,1.121565,3.6471128,0.1185764,2.4654782,-1.8782798,-0.7993893,0.9481389,-2.5314176,2.6610763,-0.7965185,1.6610773,-0.042288784,-3.1408894,0.7027532,2
-534.76227,179.51143,-60.048912,52.112957,-0.11334043,19.543999,11.0538,15.343572,13.507725,-3.3896506,15.292861,-4.018923,2.720641,5.8055243,2.1063662,5.057813,-2.2444046,6.5380235,-2.3115218,-0.24426155,6.200865,-1.0021116,4.8870387,-0.885615,2.0361257,1.4025726,-1.1960304,3.5872707,-1.595944,0.4794833,-2.3859901,-0.6362057,-0.6565841,-3.3650844,2.1472628,-1.7733253,2.0902598,0.0048057665,-2.6706455,2.4741263,2
-541.4183,186.04233,-59.519886,44.07609,16.00529,13.10625,14.272353,12.96127,11.345913,-0.34224686,13.776045,-4.391973,0.6533324,9.869792,2.0902727,5.4720726,2.8886366,4.2840524,-0.18989916,-0.34410322,2.7561991,-1.5217428,0.59346896,0.32589304,1.8732823,1.9732417,1.6274966,2.909625,0.74211884,1.3408242,-3.068174,-0.6413732,0.06291628,-2.4943006,1.8700634,-1.6793512,1.4184289,1.558344,-0.8522863,1.8580925,2
-255.81581,159.60295,-33.60496,37.659565,-47.337612,26.38516,-37.041096,-8.067472,-22.695475,2.6093097,-10.705148,-11.321211,-7.0653815,-2.4475682,-5.4463844,-12.954732,-8.691664,-11.982127,1.4115742,-9.958854,0.46993,-11.223612,1.0541265,-1.326349,2.3568127,-0.69844055,1.9386349,-0.31099442,-5.946508,-1.5640566,-6.0901117,-1.8976637,-6.601049,-2.1894228,-3.531841,3.3981788,-7.4691052,-3.111279,-1.6571559,0.70941097,1
-262.2437,155.33072,-46.259735,35.985477,-33.892612,15.992165,-42.818226,4.777212,-15.286731,-4.6020155,-13.720673,0.4610127,-8.768396,-3.872646,-7.3387356,-12.04441,3.303229,-8.852988,-4.633369,-9.779084,-0.42211634,-12.247407,-0.20469552,-5.565219,-2.214671,-3.4844155,0.06881035,-4.988445,-4.788284,-0.92571324,-5.4127574,-3.4456851,-3.7971148,-2.4265342,-6.8134284,3.5359602,0.58063644,-1.0889702,-6.290277,4.4593987,1
-271.71762,139.81186,-52.729794,47.42888,-23.744009,12.9513445,-34.438538,7.575625,-12.1080475,-9.482443,-14.293842,1.9775988,-6.822074,-13.787491,-4.905434,2.2712617,-11.561881,-13.015011,3.1466484,-5.5994034,-3.9908762,-13.8883095,4.9079704,-4.328792,-4.0085273,-5.6357064,5.1256638,-2.4011319,-1.838409,-3.9967918,-2.1910052,-0.69366246,-9.5261135,0.27409533,-3.228811,1.6721271,-9.768868,4.343961,-5.250947,-2.123313,1
-270.94284,166.02698,-64.44068,53.389214,-33.931614,27.014502,-39.285183,7.8355136,-11.19796,-6.742261,-18.815653,1.9976759,-3.7595415,-6.596128,-6.9261575,-9.946868,1.048301,-10.142396,-2.917692,-10.798134,-1.4179716,-7.996179,-0.9674639,-11.117212,-1.9397578,-6.7996283,-1.4827511,-5.401546,-4.9840846,-0.85539806,-6.0117846,-1.5471112,-4.483503,3.129806,-3.6907675,-0.21084167,-6.029859,2.9725618,0.2331637,0.056246404,1
-159.96864,99.32998,-39.20615,32.007065,-15.998096,20.40086,-26.661833,-14.295862,-0.84329534,-5.669369,-15.993025,-4.4200664,-3.377969,-1.8581244,-2.475521,-8.514335,-3.5071316,-5.317423,-2.9910128,-5.748233,-3.074076,-1.2956595,2.420219,-3.9751105,-4.313379,-5.137771,-1.5898197,-2.8152113,-4.4460974,-2.4277663,-2.1515784,-1.9039516,-2.906316,-3.3626895,-1.8298185,-2.9170554,-7.2702136,-2.3826613,-0.50156164,2.6016426,1
-329.89523,140.8697,-68.729836,-31.979599,-3.717156,7.350813,-17.00413,-13.103753,0.4316186,-7.2604733,2.597887,7.9727836,11.888679,7.3367386,4.677867,2.2456517,-2.939972,-1.9670318,0.022294197,4.1933713,1.9438707,-1.0915055,1.4324207,6.2214794,5.7575727,-0.07809263,2.551586,4.2119317,-2.0818996,-0.4719933,3.3761454,0.75229234,0.52526957,2.3761196,0.8636571,0.5466295,3.4969416,1.7500398,-0.7806771,-0.511485,3
-346.85834,141.15007,-69.27886,-42.834965,-0.19198719,6.8998528,-16.633045,-16.269127,-1.0877413,-7.516705,-0.7667791,8.0412445,10.921582,8.943484,5.596564,-0.45240796,-5.8601937,-3.7149146,-1.633091,2.3488657,0.7243475,-3.254252,-0.1581353,6.6692348,7.244502,-0.43368194,0.52569145,2.1273959,-3.341702,-2.489681,1.8137329,1.6377593,-0.24024402,-0.027835635,-0.5915873,1.5018947,4.616825,1.2151793,-1.7546519,-1.3172357,3
-350.52954,135.22217,-59.582035,-45.389935,2.9131563,6.7446184,-18.041994,-16.700367,-2.487401,-6.7786274,1.4100735,10.154249,8.943757,6.853483,4.3034887,-0.46170536,-3.328449,-1.7306318,-0.6704138,0.13085906,-0.12612714,-0.45572075,0.31257126,4.138021,3.3134124,-1.8999625,1.594031,3.1532283,-1.8153998,-2.5930295,2.6787043,3.071962,-1.7843899,0.09097971,0.7749966,1.0150058,2.440269,-0.14650169,0.16537718,-0.20547436,3
